"","data2.District.Name","data2.School.Name","data2.Population","data2.Disaggregated","data2.Assessment","data2.Achievement.Level"
"62959","Lewiston Public Schools","Farwell Elementary School","Economically Disadvantaged","Other","Mathematics","Well Below State Expectations"
"62960","Lewiston Public Schools","Farwell Elementary School","Black or African American","Racial/Ethnic Diversity","Mathematics","Well Below State Expectations"
"62961","Lewiston Public Schools","Farwell Elementary School","All Students","All Students","Mathematics","Well Below State Expectations"
"62962","Lewiston Public Schools","Farwell Elementary School","Native Hawaiian or Other Pacific Islander","Racial/Ethnic Diversity","Mathematics","Well Below State Expectations"
"62963","Lewiston Public Schools","Farwell Elementary School","Asian","Racial/Ethnic Diversity","Mathematics","Well Below State Expectations"
"62964","Lewiston Public Schools","Farwell Elementary School","White","Racial/Ethnic Diversity","Mathematics","Well Below State Expectations"
"62965","Lewiston Public Schools","Farwell Elementary School","Homeless","Other","Mathematics","Well Below State Expectations"
"62966","Lewiston Public Schools","Farwell Elementary School","Hispanic or Latino","Racial/Ethnic Diversity","Mathematics","Well Below State Expectations"
"62967","Lewiston Public Schools","Farwell Elementary School","Two or More Races","Racial/Ethnic Diversity","Mathematics","Well Below State Expectations"
"62968","Lewiston Public Schools","Farwell Elementary School","Female","Sex","Mathematics","Well Below State Expectations"
"62969","Lewiston Public Schools","Farwell Elementary School","English Learners (Monitoring)","Other","Mathematics","Well Below State Expectations"
"62970","Lewiston Public Schools","Farwell Elementary School","Male","Sex","Mathematics","Well Below State Expectations"
"62971","Lewiston Public Schools","Farwell Elementary School","English Learners","Other","Mathematics","Well Below State Expectations"
"63160","Lewiston Public Schools","Farwell Elementary School","American Indian or Alaska Native","Racial/Ethnic Diversity","Mathematics","Well Below State Expectations"
"63161","Lewiston Public Schools","Farwell Elementary School","Students with Disabilities","Other","Mathematics","Well Below State Expectations"
"63162","Lewiston Public Schools","Farwell Elementary School","Economically Disadvantaged","Other","Mathematics","Below State Expectations"
"63163","Lewiston Public Schools","Farwell Elementary School","Black or African American","Racial/Ethnic Diversity","Mathematics","Below State Expectations"
"63164","Lewiston Public Schools","Farwell Elementary School","All Students","All Students","Mathematics","Below State Expectations"
"63165","Lewiston Public Schools","Farwell Elementary School","Native Hawaiian or Other Pacific Islander","Racial/Ethnic Diversity","Mathematics","Below State Expectations"
"63166","Lewiston Public Schools","Farwell Elementary School","Asian","Racial/Ethnic Diversity","Mathematics","Below State Expectations"
"63167","Lewiston Public Schools","Farwell Elementary School","White","Racial/Ethnic Diversity","Mathematics","Below State Expectations"
"63168","Lewiston Public Schools","Farwell Elementary School","Homeless","Other","Mathematics","Below State Expectations"
"63169","Lewiston Public Schools","Farwell Elementary School","Hispanic or Latino","Racial/Ethnic Diversity","Mathematics","Below State Expectations"
"63170","Lewiston Public Schools","Farwell Elementary School","Two or More Races","Racial/Ethnic Diversity","Mathematics","Below State Expectations"
"63171","Lewiston Public Schools","Farwell Elementary School","Female","Sex","Mathematics","Below State Expectations"
"63172","Lewiston Public Schools","Farwell Elementary School","English Learners (Monitoring)","Other","Mathematics","Below State Expectations"
"63173","Lewiston Public Schools","Farwell Elementary School","Male","Sex","Mathematics","Below State Expectations"
